index,model,model_score,runtime_sec,fps,input_scale,iou,dice,precision,recall,boundary_f1
445,SAM-ViT-B,0.9029285311698914,0.4534003730000222,2.2055561917236246,4.571428571428571,0.7918454005802713,0.8838322774094686,0.7918454005802713,0.9999999999994528,0.06431471954691408
2705,STT-B,0.62320476770401,0.0598037290000093,16.72136531820356,4.942084942084942,0.341401937298127,0.5090225797433753,0.9999999999993898,0.341401937298127,0.0
2705,SAM-ViT-B,0.9189146161079407,0.4354313569999704,2.296573234619086,4.942084942084942,0.03514217269033744,0.06789825323994449,0.9999999999940724,0.03514217269033744,0.0
238,STT-B,0.5954409837722778,0.07373065399997358,13.562879830149862,3.8323353293413174,0.6868829981715325,0.8143813162099178,0.6913063477457722,0.9907706506684746,0.21542653542337772
238,SAM-ViT-B,0.9472866654396057,0.4334337530000312,2.307157652302007,3.8323353293413174,0.6754460492775229,0.8062880324541459,0.6773846360820317,0.9957808688766591,0.15383338716492656
2553,STT-B,0.7031827569007874,0.06177351600001657,16.18816711031523,3.1067961165048543,0.740052198353447,0.8506091932802173,0.7483758323855983,0.9851935001063795,0.14224436980568936
2553,SAM-ViT-B,0.8750381469726562,0.43387194800004636,2.3048275063865,3.1067961165048543,0.6294579891192305,0.7725979967847725,0.7189211580058366,0.8349369253790705,0.15187080185555146
659,STT-B,0.8580376505851746,0.07012822499996219,14.259593765570699,3.843843843843844,0.7947372166671184,0.8856307311027622,0.9689798043339403,0.8154848838906062,0.1333533513588239
659,SAM-ViT-B,0.9852609634399414,0.42888391600001796,2.3316332524812102,3.843843843843844,0.916003818008119,0.9561607439388072,0.9171556956505622,0.9986307872058934,0.02298621326872981
800,STT-B,0.8588120937347412,0.07185775899995406,13.916381667296907,3.843843843843844,0.4618080734831207,0.6318313352624305,0.9418289376383175,0.47536700671800464,0.023694635904538044
800,SAM-ViT-B,0.9421638250350952,0.4373797079999804,2.286342922886685,3.843843843843844,0.8876457253884573,0.9404791518342663,0.9089115477077164,0.9743184160948043,0.1778091259236196
3130,STT-B,0.8039684891700745,0.06502529900001264,15.37862978530565,3.4133333333333336,0.8438621935851015,0.9153202408736885,0.8961947327221554,0.9352798566458134,0.13886303182352897
3130,SAM-ViT-B,0.970992386341095,0.4335645979999754,2.306461377642408,3.4133333333333336,0.8750232234090949,0.9333465447090957,0.8805342307286804,0.9928981764518562,0.07034220036536905
1401,STT-B,0.8485488891601562,0.06962573800001337,14.36250485416482,3.855421686746988,0.6994822597835898,0.8231710048831709,0.8709432769787103,0.7803669516957982,0.1278400412632803
1401,SAM-ViT-B,0.9646573066711426,0.4286815769999066,2.332733790424163,3.855421686746988,0.766349867638596,0.8677214878874665,0.766349867638596,0.9999999999997169,0.01112655976913153
1709,STT-B,0.608715295791626,0.09602061700002196,10.414430059325397,3.843843843843844,0.23554534329023316,0.38128158479879093,0.9034390267258324,0.241628449181358,0.044318713065381765
1709,SAM-ViT-B,0.9383981227874756,0.45446720000006735,2.200378817216846,3.843843843843844,0.12157003407544732,0.21678545321632475,0.9999999999978926,0.12157003407544732,0.013913040341264907
3563,STT-B,0.9276531934738159,0.2051900100000239,4.873531611016947,3.3074935400516794,0.7072985246505645,0.828558701877082,0.9088929219598189,0.7612722170250793,0.033003295388905965
3563,SAM-ViT-B,0.9983634948730469,0.448930421,2.22751667791299,3.3074935400516794,0.8778762517733796,0.9349670948171945,0.879105491835167,0.998409728718195,0.013001767969156003
3219,STT-B,0.9188140630722046,0.10192910499995378,9.810740514207923,3.843843843843844,0.869850187265761,0.9303955933899956,0.8878351803861558,0.9772419234112886,0.1997807234750624
3219,SAM-ViT-B,0.9818728566169739,0.44555380300005254,2.2443978555826223,3.843843843843844,0.501236232861266,0.6677646354244192,0.5031536844263881,0.9924544332731188,0.07870730490116519
2118,STT-B,0.6892945766448975,0.09654095999997026,10.358297659359385,3.4133333333333336,0.6307598678485213,0.7735778642635956,0.631089074460133,0.9991736675375305,0.2692211299932012
2118,SAM-ViT-B,0.8578265905380249,0.45323309700006575,2.206370202482929,3.4133333333333336,0.32931882931840284,0.49547004383780274,0.8465379493979809,0.3502272414263184,0.09783284088841761
